Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
Compliance.ai,https://www.crunchbase.com/organization/compliance-ai,"Compliance, Financial Services, Information Technology, Machine Learning, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2014-01-01,year,,,2018-01-05,3000000,USD,3000000,Seed,3000000,USD,3000000,Seed,Cota Capital,1
Theta Lake,https://www.crunchbase.com/organization/theta-lake,"Artificial Intelligence, Compliance, FinTech, Machine Learning, Natural Language Processing, Video, Video Advertising, Video Chat, Video Conferencing","San Mateo, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2017-01-01,year,,,2019-01-16,5000000,USD,5000000,Seed,5000000,USD,5000000,Seed,"Firebolt Ventures, NeoTribe Ventures, WestWave Capital",3
Venminder,https://www.crunchbase.com/organization/venminder,"B2B, Compliance, Financial Services, FinTech, Professional Services, Risk Management, Software","Elizabethtown, Kentucky, United States",Southern US,2003-01-01,year,,,2018-07-18,5000000,USD,5000000,Series B,5000000,USD,5000000,Early Stage Venture,"Bain Capital, Bain Capital Ventures, MissionOG",3
Coinfirm,https://www.crunchbase.com/organization/coinfirm,"Bitcoin, Blockchain, Compliance, Financial Services, FinTech","London, England, United Kingdom",European Union (EU),2016-01-01,year,,,2018-09-06,,,,Venture - Series Unknown,,,,,Tech Nation Fintech,1
Vault Platform,https://www.crunchbase.com/organization/vault-platform,"Compliance, Enterprise Software, Human Resources, SaaS, Virtual Workforce","London, England, United Kingdom",European Union (EU),2018-01-01,year,,,2019-04-29,4200000,USD,4200000,Seed,4200000,USD,4200000,Seed,"Angular Ventures, Jane VC, Kindred Capital, SAATCHiNVEST, System.One",6
Syndio Solutions,https://www.crunchbase.com/organization/syndio,"Analytics, Compliance, Human Resources, Legal, Machine Learning, Predictive Analytics, SaaS, Social Network","Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",2016-11-01,month,,,2018-11-14,5200000,USD,5200000,Seed,5200000,USD,5200000,Seed,"Contour Venture Partners, Frontier Venture Capital, Garry Mathiason, Robert Millman, Sirius Venture Partners",5
Aware,https://www.crunchbase.com/organization/wiretap,"Compliance, Cyber Security, Enterprise Software, Security, Social Media Management","Columbus, Ohio, United States","Great Lakes, Midwestern US",2017-01-12,day,,,2018-03-13,6000000,USD,6000000,Series A,6000000,USD,6000000,Early Stage Venture,"Draper Triangle, JumpStart, JumpStart Inc., Ohio Innovation Fund, Rev1 Ventures",5
CyberSaint Security,https://www.crunchbase.com/organization/cybersaint,"Compliance, Cyber Security, Risk Management, Software","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",2016-01-01,year,,,2018-05-29,3000000,USD,3000000,Venture - Series Unknown,3000000,USD,3000000,,"Audeo Capital, BlueIO",2
Siilo,https://www.crunchbase.com/organization/siilo,"Collaboration, Compliance, Enterprise, Health Care, Messaging, Privacy, Real Time, Social Media","Amsterdam, Noord-Holland, The Netherlands",European Union (EU),2016-01-01,day,,,2018-10-04,4500000,EUR,5182671,Seed,4500000,EUR,5182671,Seed,EQT Ventures,1
NorthRow,https://www.crunchbase.com/organization/contego-fraud-solutions,"Compliance, FinTech, SaaS, Software","Abingdon, Oxfordshire, United Kingdom",European Union (EU),2010-01-01,year,,,2017-07-18,3500000,GBP,4562620,Series A,3500000,GBP,4562620,Early Stage Venture,"Angel CoFund, Maven Capital Partners, Newable Private Investing, NVM Private Equity, QVentures",12
Paybase,https://www.crunchbase.com/organization/paybase,"Compliance, Crowdfunding, Financial Services","London, England, United Kingdom",European Union (EU),2013-01-01,year,,,2017-08-25,700000,GBP,901536,Grant,4000000,GBP,5872732,,Innovate UK,1
