Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
BloXroute Labs,https://www.crunchbase.com/organization/bloxroute-labs,"Blockchain, Content Delivery Network, Cryptocurrency, Finance, Financial Services, FinTech, Information Technology, Personal Finance","Evanston, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",2017-01-01,year,,,2019-05-09,10000000,USD,10000000,Series B,10000000,USD,10000000,Early Stage Venture,"Coinbase Ventures, Flybridge Capital Partners, MetaStable Capital, Pantera Capital, ZhenFund",14
Bitwala,https://www.crunchbase.com/organization/bitwala,"Blockchain, Cryptocurrency, Financial Services, FinTech","Berlin, Berlin, Germany",European Union (EU),2015-10-01,month,,,2019-01-01,71429,EUR,81868,Grant,4000000,EUR,4705328,,"coparion, Digital Currency Group, Earlybird Venture Capital, EASME - EU Executive Agency for SMEs, High-Tech Gründerfonds",6
Seba Crypto,https://www.crunchbase.com/organization/seba-crypto,"Blockchain, Cryptocurrency, Finance, Financial Services","Zug, Zug, Switzerland",,2018-01-01,year,,,2018-09-27,104000000,USD,104000000,Venture - Series Unknown,104000000,USD,104000000,,Black River Asset Management,1
Lucid Sight,https://www.crunchbase.com/organization/lucid-sight,"Blockchain, Computer, Cryptocurrency, Ethereum, Product Design, Video Games, Virtual Reality","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",2015-01-01,year,,,2019-04-02,6000000,USD,6000000,Series B,6000000,USD,6000000,Early Stage Venture,"Animoca Brands, BreakawayGrowth Fund, Digital Currency Group, Galaxy Digital LP, Salem Partners",10
Blockdaemon,https://www.crunchbase.com/organization/blockdaemon,"Bitcoin, Blockchain, Cloud Infrastructure, Cloud Management, Computer, Cryptocurrency, Ethereum","Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US",2017-01-01,year,,,2019-04-05,2350000,USD,2350000,Seed,2350000,USD,2350000,Seed,"Comcast Ventures, CRCM Ventures, Lerer Hippeau, Liquid 2 Ventures, Plug and Play",11
Coinfirm,https://www.crunchbase.com/organization/coinfirm,"Bitcoin, Blockchain, Compliance, Financial Services, FinTech","London, England, United Kingdom",European Union (EU),2016-01-01,year,,,2018-09-06,,,,Venture - Series Unknown,,,,,Tech Nation Fintech,1
PATRON,https://www.crunchbase.com/organization/patron-b7b0,"Cryptocurrency, Marketing, Software","Roppongi, Tokyo, Japan",Asia-Pacific (APAC),2017-02-28,day,,,2018-05-11,40000000,USD,40000000,Initial Coin Offering,40000000,USD,40000000,,,
Hu-manity.co,https://www.crunchbase.com/organization/hu-manity-co,"Blockchain, Cryptocurrency, Humanitarian, Information Technology, Legal","Princeton, New Jersey, United States","East Coast, Northeastern US",2018-04-02,day,,,2018-04-06,5500000,USD,5500000,Seed,5500000,USD,5500000,Seed,,
Good Chain,https://www.crunchbase.com/organization/good-chain,"Blockchain, Cryptocurrency",,,,,,,2019-07-15,23000000,USD,23000000,Series B,23000000,USD,23000000,Early Stage Venture,"Rock Foundation, Snow Leopard Technology Ventures, Tianhe Capital",3
Neufund,https://www.crunchbase.com/organization/neufund,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, Payments","Berlin, Berlin, Germany",European Union (EU),2016-09-01,day,,,2018-12-11,3000000,EUR,3397050,Initial Coin Offering,3000000,EUR,3397050,,"Atlantic Labs, Freigeist Capital, Klaas Kersting, Max Kordek, Michael Jackson",8
Hey,https://www.crunchbase.com/organization/hey-859f,"Blockchain, Cryptocurrency, Social Media, Social Network","Brussels, Brussels Hoofdstedelijk Gewest, Belgium",European Union (EU),2018-06-06,day,,,2018-10-10,700000,EUR,807321,Seed,700000,EUR,807321,Seed,,
CoinCasso,https://www.crunchbase.com/organization/coincasso,"Bitcoin, Cryptocurrency, Ethereum, Finance, Financial Exchanges, Financial Services, FinTech, Internet, Stock Exchanges, Virtual Currency","Tallinn, Harjumaa, Estonia",European Union (EU),2018-05-17,day,,,2018-11-02,3500000,USD,3500000,Initial Coin Offering,3500000,USD,3500000,,,
TradeBlock,https://www.crunchbase.com/organization/tradeblock,"Bitcoin, Cryptocurrency, Financial Services, FinTech","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2013-01-01,year,,,2018-08-16,32661508,USD,32661508,Venture - Series Unknown,32661508,USD,32661508,,"Andreessen Horowitz, Data Collective DCVC, F-Prime Capital, Hard Yaka, Y Combinator",8
Blockstream,https://www.crunchbase.com/organization/blockstream,"Bitcoin, Computer, Cryptocurrency, Data Storage, FinTech","Victoria, British Columbia, Canada",,2014-01-01,year,,,2017-11-21,25000000,USD,25000000,Undisclosed,25000000,USD,25000000,,"AngelList, Blockchain Capital, Pegasus Tech Ventures, Real Ventures, Tencent Holdings",25
Bluzelle,https://www.crunchbase.com/organization/bluzelle-networks,"Bitcoin, Blockchain, Database, Information Services, Information Technology","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",2014-01-01,year,,,2018-03-28,1000000,USD,1000000,Series C,1000000,USD,1000000,Late Stage Venture,"8 Decimal Capital, Global Brain Corporation, Kenetic, NEO Global Capital (NGC), True Global Ventures (TGV)",10
Parity Technologies,https://www.crunchbase.com/organization/ethcore,"Blockchain, Computer, Ethereum, Information Technology, Open Source, Software","London, England, United Kingdom",European Union (EU),2015-01-01,year,,,2019-01-08,5000000,USD,5000000,Grant,750000,USD,750000,Seed,"Blockchain Capital, Ethereum Foundation, Fenbushi Capital, Jehan Chu",4
Augmate,https://www.crunchbase.com/organization/augmate,"Augmented Reality, Bitcoin, Blockchain, Cryptocurrency, Enterprise Software, Ethereum, Internet of Things, Mobile Devices, Software, Wearables","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2013-12-01,day,,,2018-06-19,2800000,USD,2800000,Venture - Series Unknown,2800000,USD,2800000,,"Draper Associates, Next47, Rothenberg Ventures, Simon Property Group, Tim Draper",15
Cobo,https://www.crunchbase.com/organization/cobo,"Blockchain, Cryptocurrency, FinTech","Beijing, Beijing, China",Asia-Pacific (APAC),2017-11-01,month,,,2018-10-17,13000000,USD,13000000,Series A,13000000,USD,13000000,Early Stage Venture,"DHVC, FREES FUND, IMO Ventures, Linear Venture, Wu Capital",5
