Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
Shape Security,https://www.crunchbase.com/organization/shape-security,"Cyber Security, Network Security, Security","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2011-01-01,year,,,2018-11-01,26000000,USD,26000000,Series E,26000000,USD,26000000,Late Stage Venture,"GV, Northern Light Venture Capital, Norwest Venture Partners, Sierra Ventures, Venrock",18
Illumio,https://www.crunchbase.com/organization/illumio,"Cloud Security, Cyber Security, Data Center, Enterprise Software, Security","Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-01-01,year,,,2019-02-07,65000000,USD,65000000,Series E,65000000,USD,65000000,Late Stage Venture,"8VC, Andreessen Horowitz, Juniper Networks, Marc Benioff, Valor Capital Group",17
Signal Sciences,https://www.crunchbase.com/organization/signal-sciences,"Cyber Security, Information Technology, SaaS, Security, Software, Web Apps","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",2014-03-10,day,,,2019-02-05,35000000,USD,35000000,Series C,35000000,USD,35000000,Late Stage Venture,"CRV, Harrison Metal, Index Ventures, Lead Edge Capital, Oreilly AlphaTech Ventures",8
Expel,https://www.crunchbase.com/organization/expel,"Cloud Security, Cyber Security, Network Security","Herndon, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2016-05-05,day,,,2019-06-18,40000000,USD,40000000,Series C,40000000,USD,40000000,Late Stage Venture,"Battery Ventures, Greycroft, Index Ventures, New Enterprise Associates, Scale Venture Partners",9
Tessian,https://www.crunchbase.com/organization/checkrecipient,"Artificial Intelligence, Cyber Security, Email, Machine Learning, Professional Services","London, England, United Kingdom",European Union (EU),2013-01-01,year,,,2019-01-25,,,,Venture - Series Unknown,,,,,"Accel, Amadeus Capital Partners, Balderton Capital, LocalGlobe, Sequoia Capital",19
DefenseStorm,https://www.crunchbase.com/organization/praesidio-inc-,"Banking, Cloud Data Services, Compliance, Cyber Security, FinTech, Information Technology","Alpharetta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",2014-05-01,day,,,2019-07-15,15000000,USD,15000000,Series A,15000000,USD,15000000,Early Stage Venture,"Citizens National Bank, Georgian Partners, Harold Brewer, Live Oak Banking Company, TTV Capital",7
GreatHorn,https://www.crunchbase.com/organization/greathorn,"Cyber Security, Email, Hardware, Internet, Machine Learning, Security","Waltham, Massachusetts, United States","Greater Boston Area, East Coast, New England",2015-04-01,day,,,2019-06-26,13000000,USD,13000000,Series B,13000000,USD,13000000,Early Stage Venture,"Right Side Capital Management, RRE Ventures, Techstars, Techstars Ventures, Uncork Capital",11
DUST Identity,https://www.crunchbase.com/organization/dust-identity,"Cyber Security, Information Technology, Internet of Things, Nanotechnology, Security, Supply Chain Management","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",2018-01-01,year,,,2019-07-17,10000000,USD,10000000,Series A,10000000,USD,10000000,Early Stage Venture,"Airbus Ventures, Angular Ventures, Kleiner Perkins, Lockheed Martin Ventures, New Science Ventures",6
Anomali,https://www.crunchbase.com/organization/threatstream,"Analytics, Cyber Security, Network Security, Open Source, Security","Redwood City, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-01-01,year,,,2018-01-17,40000000,USD,40000000,Series D,40000000,USD,40000000,Late Stage Venture,"Deutsche Telekom Capital Partners, General Catalyst, GV, IVP (Institutional Venture Partners), Telstra Ventures",11
eSentire,https://www.crunchbase.com/organization/esentire,"Cyber Security, Network Security, Security","Cambridge, Ontario, Canada",Great Lakes,2001-01-01,year,,,2019-03-04,47000000,USD,47000000,Private Equity,47000000,USD,47000000,Private Equity,"Edison Partners, Georgian Partners, Information Venture Partners, Northleaf Capital Partners, Warburg Pincus",8
ForgeRock,https://www.crunchbase.com/organization/forgerock,"Cyber Security, Enterprise Software, Identity Management, Information Technology, Internet of Things, Privacy","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2010-02-01,day,,,2017-09-05,88000000,USD,88000000,Series D,88000000,USD,88000000,Late Stage Venture,"Accel, Foundation Capital, Kohlberg Kravis Roberts, Meritech Capital Partners",4
Dragos,https://www.crunchbase.com/organization/dragos,"Cyber Security, Industrial, Network Security, Security, Software","Hanover, Maryland, United States","Greater Baltimore-Maryland Area, East Coast, Southern US",2016-05-01,month,,,2018-11-14,37000000,USD,37000000,Series B,37000000,USD,37000000,Early Stage Venture,"AllegisCyber, Canaan Partners, DataTribe, Energy Impact Partners, National Grid Partners (NGP)",7
