Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
edureka!,https://www.crunchbase.com/organization/edureka,"Android, Big Data, Blockchain, Cloud Computing, EdTech, Education, Information Technology, iOS, Training, Web Development","Bangalore, Karnataka, India",Asia-Pacific (APAC),2011-05-01,month,,,2018-06-29,2000000,USD,2000000,Series A,2000000,USD,2000000,Early Stage Venture,Leo Capital India,1
Audius,https://www.crunchbase.com/organization/audius,"Blockchain, Digital Entertainment, Music","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2018-02-01,month,,,2018-08-08,5500000,USD,5500000,Series A,5500000,USD,5500000,Early Stage Venture,"122WEST VENTURES, General Catalyst, Kleiner Perkins, Lightspeed Venture Partners, Pantera Capital",6
Atlas City Global,https://www.crunchbase.com/organization/atlas-city-global,Blockchain,"London, England, United Kingdom",European Union (EU),,,,,2019-06-26,4000000,USD,4000000,Seed,4000000,USD,4000000,Seed,Robert A Hefner III,1
Lakeba Group Pty Ltd,https://www.crunchbase.com/organization/lakeba-corporation,"Artificial Intelligence, Blockchain, Financial Services, Information Technology, Internet of Things, Security, Software","Sydney, New South Wales, Australia","Asia-Pacific (APAC), Australasia",2013-08-01,month,,,2018-12-01,10000000,AUD,7313999,Series A,10000000,AUD,7313999,Early Stage Venture,,
BlockCerts,https://www.crunchbase.com/organization/blockcerts,Blockchain,"Port Louis, Port Louis, Mauritius",,2016-01-01,year,,,2019-06-18,25000000,USD,25000000,Venture - Series Unknown,25000000,USD,25000000,,"Hillcore Group, Robson Financial Group",2
Unstoppable Domains,https://www.crunchbase.com/organization/unstoppable-domains,"Blockchain, Domain Registrar, Internet","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,,2019-05-23,4000000,USD,4000000,Series A,4000000,USD,4000000,Early Stage Venture,"Boost VC, Draper Associates",2
OmiseGO,https://www.crunchbase.com/organization/omisego,"Banking, Blockchain, Financial Services","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",2017-01-01,year,,,2017-11-07,,,,Initial Coin Offering,,,,,"Continue Capital, Hashed, James Sowers, Kenetic, Nirvana Capital",10
Sensay,https://www.crunchbase.com/organization/sensay,"Artificial Intelligence, Blockchain, Messaging, Mobile","Venice, California, United States","Greater Los Angeles Area, West Coast, Western US",2014-03-27,day,,,2017-12-20,15000000,USD,15000000,Initial Coin Offering,15000000,USD,15000000,,"Blockchain Capital, BnkToTheFuture, Draper Associates, Norwest Venture Partners, Plug and Play",15
NXM LABS INC.,https://www.crunchbase.com/organization/nxcar-technologies-inc,"Blockchain, Internet of Things, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2016-09-21,day,,,2019-02-06,3000000,USD,3000000,Seed,3000000,USD,3000000,Seed,,
Nervos Network,https://www.crunchbase.com/organization/nervos,"Blockchain, Information Services, Information Technology","Hangzhou, Zhejiang, China",Asia-Pacific (APAC),2018-01-01,month,,,2018-07-18,28000000,USD,28000000,Series A,28000000,USD,28000000,Early Stage Venture,"500 Startups, Blockchain Capital, Matrix Partners China, Multicoin Capital, Polychain",21
