Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
Prifender,https://www.crunchbase.com/organization/prifender,"Artificial Intelligence, Big Data, Cloud Data Services, Computer, Privacy, Software","Bellevue, Washington, United States","Greater Seattle Area, West Coast, Western US",2015-01-01,year,,,2018-06-19,5000000,USD,5000000,Seed,5000000,USD,5000000,Seed,"Firstime Venture Capital, iAngels, Shaked Ventures",3
Helm,https://www.crunchbase.com/organization/privacy-labs,"Network Security, Privacy, Security","Bellevue, Washington, United States","Greater Seattle Area, West Coast, Western US",2016-04-01,month,,,2019-04-19,,,,Convertible Note,4000000,USD,4000000,Seed,"Arrive, Initialized Capital, Lee Linden, Lemnos VC, Liquid 2 Ventures",15
Token,https://www.crunchbase.com/organization/token-3,"Payments, Privacy, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2016-05-06,day,,,2019-04-02,300000,USD,300000,Seed,300000,USD,300000,Seed,"David Krell, Lawrence Fish, Startupbootcamp, Startupbootcamp Fintech New York",4
Tonic,https://www.crunchbase.com/organization/tonic-ai,"Developer Tools, Machine Learning, Privacy, SaaS","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2018-01-01,year,,,2018-06-01,1900000,USD,1900000,Seed,1900000,USD,1900000,Seed,"Bloomberg Beta, Heavybit, Xfund",3
Anonyome Labs,https://www.crunchbase.com/organization/anonyome-labs,"Privacy, Security","Salt Lake City, Utah, United States",Western US,2014-01-01,year,,,2017-08-28,20400000,USD,20400000,Series B,20400000,USD,20400000,Early Stage Venture,"Greg Clark, Hanna Ventures, Ken A. Eldred, Steve Shillingford, Todd Davis",6
RADAR,https://www.crunchbase.com/organization/radar-llc,"Compliance, Privacy, Risk Management, SaaS, Security","Portland, Oregon, United States","West Coast, Western US",2014-01-01,year,,,2018-11-12,,,,Undisclosed,,,,,Vista Equity Partners,1
Kindite,https://www.crunchbase.com/organization/kindite,"Big Data, Cloud Security, Cyber Security, FinTech, Privacy","Tel Aviv, Tel Aviv, Israel",,2017-02-01,month,,,2018-10-16,4000000,USD,4000000,Seed,4000000,USD,4000000,Seed,"CE Ventures (CEIIF), RDC - Rafael Development Corporation, The Junction",3
Metomic,https://www.crunchbase.com/organization/metomic,"Developer APIs, Information Services, Information Technology, Privacy","London, England, United Kingdom",European Union (EU),2018-01-01,year,,,2019-05-28,1420000,GBP,1797547,Seed,1420000,GBP,1797547,Seed,"Connect Ventures, Entrepreneur First",2
Spinbackup,https://www.crunchbase.com/organization/spinbackup-llc,"Big Data, Cloud Data Services, Cloud Security, Cloud Storage, Cyber Security, Privacy, SaaS","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2016-01-01,day,,,2018-12-16,1500000,USD,1500000,Series A,1500000,USD,1500000,Early Stage Venture,"AVentures Capital, bValue Venture Capital, TMT Investments, VentureBot",4
Netki,https://www.crunchbase.com/organization/netki-inc,"Computer, FinTech, Privacy, Security","Canoga Park, California, United States","Greater Los Angeles Area, West Coast, Western US",2014-07-14,day,,,2018-05-03,,,,Convertible Note,3500000,USD,3500000,Seed,"Base Ventures, Bitfinex, Digital Currency Group, Donuts, Plug and Play",11
ZenMate,https://www.crunchbase.com/organization/zenguard,"Browser Extensions, Privacy, Security, Software","Berlin, Berlin, Germany",European Union (EU),2013-01-01,year,2018-10-16,day,2018-06-13,23040,GBP,30832,Equity Crowdfunding,23040,GBP,30832,M&A,"Axel Springer Plug and Play Accelerator, Bessemer Venture Partners, Deutsche Telekom Strategic Investments, HV Holtzbrinck Ventures, Project A",7
VIDA,https://www.crunchbase.com/organization/solidx-partners,"Cloud Security, Cyber Security, Internet, Privacy, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2014-04-23,day,,,2017-10-15,2000000,USD,2000000,Seed,2000000,USD,2000000,Seed,"Brooklyn Bridge Ventures, Red Sea Ventures, Red Swan Ventures",3
EcoSteer,https://www.crunchbase.com/organization/ecosteer,"Blockchain, Internet of Things, Privacy, Security, Software","Bozen, Trentino-Alto Adige, Italy",European Union (EU),2017-01-01,year,,,2018-12-01,450000,EUR,509445,Seed,450000,EUR,509445,Seed,,
Pryv,https://www.crunchbase.com/organization/pryv,"Apps, Health Care, Information Technology, Internet of Things, Medical Device, Personalization, Privacy, Quantified Self, Software","Lausanne, Vaud, Switzerland",,2012-01-01,year,,,2018-01-29,400000,CHF,426679,Debt Financing,1100000,CHF,1124914,Seed,"Cosa Trade SA, Foundation for Technological Innovation (FIT), simple data sarl",3
Tanker,https://www.crunchbase.com/organization/tanker,"Cloud Security, Developer Platform, Identity Management, PaaS, Privacy","Paris, Ile-de-France, France",European Union (EU),2015-01-01,year,,,2017-09-15,6000000,EUR,7167003,Venture - Series Unknown,6000000,EUR,7167003,,"AXA Venture Partners, EIT Digital Accelerator, Idinvest Partners, Kima Ventures, Wilco",7
Cliqueshare,https://www.crunchbase.com/organization/cliqueshare,"Collaboration, Mobile Apps, Photo Sharing, Privacy, SaaS","Wheaton, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",2017-10-01,day,,,2019-06-03,350000,USD,350000,Seed,350000,USD,350000,Seed,,
