Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
Cequence Security,https://www.crunchbase.com/organization/cequence-security,"Cyber Security, Fraud Detection, Information Technology, Internet, Network Security, Security, Software","Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2014-01-01,year,,,2019-02-27,17000000,USD,17000000,Series B,17000000,USD,17000000,Early Stage Venture,"CRCM Ventures, Dell Technologies Capital, Monta Vista Capital, Shasta Ventures, TriplePoint Capital",10
Critical Start,https://www.crunchbase.com/organization/critical-start,"Cyber Security, Information Services, Information Technology, Network Security","Plano, Texas, United States","Dallas/Fort Worth Metroplex, Southern US",2012-01-01,year,,,2019-06-12,40000000,USD,40000000,Private Equity,40000000,USD,40000000,Private Equity,Bregal Sagemount,1
CyberX,https://www.crunchbase.com/organization/cyberx,"Cyber Security, Industrial, Network Security, Security","Framingham, Massachusetts, United States","Greater Boston Area, East Coast, New England",2013-01-01,year,,,2019-03-25,18000000,USD,18000000,Series C,18000000,USD,18000000,Late Stage Venture,"Flint Capital, Glilot Capital Partners, Norwest Venture Partners, OurCrowd, Qualcomm Ventures",11
freee,https://www.crunchbase.com/organization/freee,"Accounting, B2B, Banking, Enterprise Software, Finance, Financial Services, Network Security, Software","Tokyo, Tokyo, Japan",Asia-Pacific (APAC),2012-07-09,day,,,2018-08-07,60000000,USD,60000000,Series E,60000000,USD,60000000,Late Stage Venture,"Greyhound Capital, Infinity Ventures, Line Corporation, Mitsubishi UFJ Financial Group, SBI Investment",15
Edgewise Networks,https://www.crunchbase.com/organization/edgewise-networks,Network Security,"Burlington, Massachusetts, United States","Greater Boston Area, East Coast, New England",2016-01-01,year,,,2019-06-11,11000000,USD,11000000,Series A,11000000,USD,11000000,Early Stage Venture,".406 Ventures, Accomplice, Pillar Ventures",3
Hedera Hashgraph,https://www.crunchbase.com/organization/hashgraph,"Blockchain, Computer, Network Security","Richardson, Texas, United States","Dallas/Fort Worth Metroplex, Southern US",2018-01-01,year,,,2019-04-28,,,,Seed,,,,Seed,"BlockTower Capital, DHVC, Digital Currency Group, Elysium Venture Capital, ICONIUM",12
BioCatch,https://www.crunchbase.com/organization/biocatch,"Cyber Security, FinTech, Fraud Detection, Network Security","Tel Aviv, Tel Aviv, Israel",,2011-01-01,year,,,2018-03-12,30000000,USD,30000000,Series B,30000000,USD,30000000,Early Stage Venture,"American Express Ventures, CreditEase Fintech Investment Fund, JANVEST Capital Partners, Kreos Capital, OurCrowd",8
Stellar Cyber,https://www.crunchbase.com/organization/stellarcyber,"Artificial Intelligence, Cyber Security, Network Security","Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2015-01-01,year,,,2019-02-26,13200000,USD,13200000,Series A,13200000,USD,13200000,Early Stage Venture,"Digital Hearts, Northern Light Venture Capital, Sharon Wan, Valley Capital Partners",4
Callsign,https://www.crunchbase.com/organization/callsign,"Artificial Intelligence, Computer, Cyber Security, Machine Learning, Network Security","London, England, United Kingdom",European Union (EU),2012-01-01,year,,,2017-07-27,35000000,USD,35000000,Series A,35000000,USD,35000000,Early Stage Venture,"Accel, AllegisCyber, Breed Reply, Qualcomm Ventures, WestWave Capital",8
CyberGRX,https://www.crunchbase.com/organization/cybergrx,"Analytics, Big Data, Cloud Security, Cyber Security, Enterprise Software, Information Technology, Network Security, Risk Management, SaaS, Security, Software, Supply Chain Management","Denver, Colorado, United States","Greater Denver Area, Western US",2015-10-01,month,,,2018-11-28,30000000,USD,30000000,Series C,30000000,USD,30000000,Late Stage Venture,"Bessemer Venture Partners, Blackstone Group, GV, Scale Venture Partners, TenEleven Ventures",12
Morphisec,https://www.crunchbase.com/organization/morphisec,"Cyber Security, Enterprise Software, Network Security","Be'er Sheva, HaDarom, Israel",,2014-01-01,year,,,2018-02-19,12000000,USD,12000000,Series B,12000000,USD,12000000,Early Stage Venture,"Deutsche Telekom, Deutsche Telekom Capital Partners, GE Ventures, General Electric (GE), OurCrowd",8
