Organization,Categories,Location,FundingAmount,FundingType,EquityAmount,Status,Investors,Founded,Period,Quarter,investor_1,investor_2,investor_3,investor_4,investor_5,region_1,region_2,region_3
empow cyber security,"Cyber Security, Information Technology, Security","Boston, Massachusetts, United States",10000000.0,Series B,10000000.0,Early Stage Venture,1.0,2014.0,2018-04,20182Q,Ascent Venture Partners,,,,,Greater Boston Area, East Coast, New England
Yellow,"Bitcoin, Internet, Software",,9000000.0,Seed,9000000.0,Seed,2.0,2014.0,2018-04,20182Q,Digital Currency Group, Grishin Robotics,,,,,,
Blocko,"Blockchain, Enterprise Software, Internet of Things, Software","Pangyo, Kyonggi-do, South Korea",8900000.0,Series B,8900000.0,Early Stage Venture,8.0,2014.0,2018-06,20182Q,InterVest Co., Premier Partners, Samsung Ventures, SparkLabs Accelerator, SparkLabs Ventures,Asia-Pacific (APAC),,
AID:Tech,"Artificial Intelligence, Blockchain, Enterprise Software, GovTech, Information Technology, Social Assistance, Social Impact, Software","Dublin, Dublin, Ireland",1180350.0,Seed,1180350.0,Seed,12.0,2016.0,2018-06,20182Q,Enterprise Ireland, LAUNCH, MassChallenge, SGInnovate, Techstars,European Union (EU),,
QuintessenceLabs,"Computer, Cyber Security, Network Security, Quantum Computing","Canberra, Australian Capital Territory, Australia",425054.0,Grant,5866241.0,Early Stage Venture,,2006.0,2018-01,20181Q,,,,,,Asia-Pacific (APAC), Australasia,
Mycelium,"Blockchain, Cryptocurrency, Financial Services, FinTech","London, England, United Kingdom",5000000.0,Series A,5000000.0,Early Stage Venture,,2012.0,2018-01,20181Q,,,,,,European Union (EU),,
Zentera Systems,"Cloud Computing, Cloud Infrastructure, Cloud Security, Cyber Security, Enterprise, Network Security","San Jose, California, United States",5000000.0,Venture - Series Unknown,5000000.0,,1.0,2012.0,2018-06,20182Q,China Development Industrial Bank (CDIB),,,,,San Francisco Bay Area, Silicon Valley, West Coast
Hub,"Blockchain, Business Development, Business Information Systems, Communities, Computer, Local Business","Mountain View, California, United States",20000000.0,Initial Coin Offering,20000000.0,,14.0,2016.0,2018-06,20182Q,Data Collective DCVC, Legend Capital, Sway Ventures, Ulu Ventures, UP2398,San Francisco Bay Area, Silicon Valley, West Coast
Decision Sciences,"Enterprise Software, Hardware, Security","Chantilly, Virginia, United States",10000000.0,Venture - Series Unknown,10000000.0,,,2001.0,2018-05,20182Q,,,,,,Washington DC Metro Area, East Coast, Southern US
TaTaTu Enterprises,"Blockchain, Video, Video Streaming","London, England, United Kingdom",575000000.0,Initial Coin Offering,575000000.0,,,,2018-06,20182Q,,,,,,European Union (EU),,
Cyabra,"Cyber Security, Information Services, Natural Language Processing, SaaS, Social Media","Tel Aviv, Tel Aviv, Israel",1000000.0,Seed,1000000.0,Seed,1.0,2017.0,2018-06,20182Q,TAU Ventures,,,,,,,
Spherical Defence Labs,"Artificial Intelligence, Cyber Security, E-Commerce, Security","Walnut, California, United States",2000000.0,Seed,2000000.0,Seed,6.0,2015.0,2018-01,20181Q,Conversion Capital, CyLon, Michael Pennington, NCSC Cyber Accelerator, Point72 Ventures,Greater Los Angeles Area, West Coast, Western US
APERIO Systems,"Cyber Security, Infrastructure, Real Time, Software","Haifa, Hefa, Israel",4500000.0,Seed,4500000.0,Seed,4.0,2016.0,2018-02,20181Q,Data Point Capital, EDP, Jump Capital, Scopus Ventures,,,,
CounterCraft,"Cyber Security, Network Security, Security","San Sebastian, Pais Vasco, Spain",2469324.0,Seed,2469324.0,Seed,7.0,2015.0,2018-03,20181Q,Adara Ventures, EASME - EU Executive Agency for SMEs, Evolution Equity Partners, NCSC Cyber Accelerator, Wayra,European Union (EU),,
DataVisor,"Analytics, Artificial Intelligence, Big Data, Cyber Security, Fraud Detection, Internet, Machine Learning, Security, Software","Mountain View, California, United States",40000000.0,Series C,40000000.0,Late Stage Venture,4.0,2013.0,2018-02,20181Q,Genesis Capital, GSR Ventures, New Enterprise Associates, Sequoia Capital China,,San Francisco Bay Area, Silicon Valley, West Coast
FUSION Foundation,"Blockchain, Information Services, Information Technology, Internet","Singapore, Central Region, Singapore",110000000.0,Initial Coin Offering,110000000.0,,1.0,,2018-02,20181Q,BlockWater Management,,,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Lendingblock,"Blockchain, Cryptocurrency, Lending","London, England, United Kingdom",10000000.0,Initial Coin Offering,10000000.0,,,2017.0,2018-04,20182Q,,,,,,European Union (EU),,
Globacap,"Blockchain, Financial Services, FinTech","London, England, United Kingdom",800000.0,Seed,800000.0,Seed,3.0,2017.0,2018-06,20182Q,Christian Schulte, Stephen Russell, Stoic Capital,,,European Union (EU),,
imToken,"Asset Management, Ethereum, Information Technology, Software","Hangzhou, Zhejiang, China",10000000.0,Series A,10000000.0,Early Stage Venture,1.0,2016.0,2018-05,20182Q,IDG Capital,,,,,Asia-Pacific (APAC),,
Nextmarkets,"Blockchain, Financial Services, Stock Exchanges, Trading Platform","Cologne, Nordrhein-Westfalen, Germany",6938341.0,Series A,6938341.0,Early Stage Venture,6.0,2014.0,2018-06,20182Q,Axel Springer, Cryptology Asset Group, EXTOREL, FinLab, Founders Fund,European Union (EU),,
Allure Security Technology,"Analytics, Artificial Intelligence, Big Data, Cloud Security, Cyber Security, Machine Learning, Mobile, Risk Management","Waltham, Massachusetts, United States",5300000.0,Seed,5300000.0,Seed,4.0,2009.0,2018-01,20181Q,Glasswing Ventures, Greycroft, Portage Partners, Zetta Venture Partners,,Greater Boston Area, East Coast, New England
FintruX Network,"B2B, Blockchain, Financial Services, FinTech","Singapore, Central Region, Singapore",25000000.0,Initial Coin Offering,25000000.0,,,2017.0,2018-03,20181Q,,,,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
AIAR EdTech AB,"Artificial Intelligence, Augmented Reality, Blockchain, Digital Marketing, E-Learning, EdTech, Education, Sales, Training","Stockholm, Stockholms Lan, Sweden",562926.0,Series A,562926.0,Early Stage Venture,1.0,2017.0,2018-03,20181Q,Milky Way Cap,,,,,European Union (EU), Nordic Countries, Scandinavia
Kela Group,"Analytics, Artificial Intelligence, Business Intelligence, Computer, Cyber Security, Information Technology, Network Security","Tel Aviv, Tel Aviv, Israel",50000000.0,Private Equity,50000000.0,Private Equity,1.0,2009.0,2018-05,20182Q,Vector Capital,,,,,,,
Unchained Capital,"Bitcoin, Cryptocurrency, Ethereum, Financial Services, FinTech","Austin, Texas, United States",3000000.0,Seed,3000000.0,Seed,5.0,2017.0,2018-06,20182Q,Brian Spaly, Ecliptic Capital, Ezra Galston, Michael Komaransky, Starting Line,Southern US,,
Minim,"Cyber Security, Internet of Things, Network Security, Security","Manchester, New Hampshire, United States",2500000.0,Seed,2500000.0,Seed,3.0,2017.0,2018-04,20182Q,Company Ventures, Flybridge Capital Partners, Founder Collective,,,East Coast, New England, Northeastern US
Kyckr Limited,"Compliance, FinTech, Legal","Waterford, Waterford, Ireland",3784541.0,Post-IPO Equity,3784541.0,IPO,,2007.0,2018-06,20182Q,,,,,,European Union (EU),,
UpCodes,"Architecture, Civil Engineering, Compliance, Construction","San Francisco, California, United States",665000.0,Seed,665000.0,Seed,8.0,2016.0,2018-06,20182Q,Bragiel Brothers, Foundation Capital, Kevin Moore, Liquid 2 Ventures, Y Combinator,San Francisco Bay Area, West Coast, Western US
ZenMate,"Browser Extensions, Privacy, Security, Software","Berlin, Berlin, Germany",30832.0,Equity Crowdfunding,30832.0,M&A,7.0,2013.0,2018-06,20182Q,Axel Springer Plug and Play Accelerator, Bessemer Venture Partners, Deutsche Telekom Strategic Investments, HV Holtzbrinck Ventures, Project A,European Union (EU),,
Quantum Xchange,"Computer, Cyber Security, Information Technology","Bethesda, Maryland, United States",10000000.0,Series A,10000000.0,Early Stage Venture,1.0,2018.0,2018-06,20182Q,New Technology Ventures,,,,,Washington DC Metro Area, East Coast, Southern US
Threatcare,"Cyber Security, Information Technology, Network Security, SaaS","Austin, Texas, United States",1400000.0,Seed,1400000.0,Seed,9.0,2014.0,2018-01,20181Q,Firebrand Ventures, Flyover Capital, Moonshots Capital, Right Side Capital Management, Techstars,Southern US,,
AdHive,"Advertising Platforms, Artificial Intelligence, Blockchain, Brand Marketing, Digital Marketing, Marketing, Marketing Automation, Social Media Advertising","Tallinn, Harjumaa, Estonia",17500000.0,Initial Coin Offering,17500000.0,,,2017.0,2018-03,20181Q,,,,,,European Union (EU),,
Rapidly,"Compliance, Finance, Financial Services, FinTech, Information Technology, Marketplace","San Francisco, California, United States",150000.0,Convertible Note,300000.0,Seed,,2017.0,2018-05,20182Q,,,,,,San Francisco Bay Area, West Coast, Western US
CYFIRMA,"Artificial Intelligence, Cyber Security, Machine Learning, Predictive Analytics, Security","Dallas, Texas, United States",15000000.0,Series A,15000000.0,Early Stage Venture,1.0,2017.0,2018-05,20182Q,Goldman Sachs,,,,,Dallas/Fort Worth Metroplex, Southern US,
Unblockable,"Blockchain, Casual Games, Collectibles, Marketplace, Sports","Manhattan Beach, California, United States",5000000.0,Venture - Series Unknown,5000000.0,,2.0,2018.0,2018-06,20182Q,Lightspeed Venture Partners, Shasta Ventures,,,,Greater Los Angeles Area, West Coast, Western US
RE-Sure Inc,"Apps, Blockchain, Insurance","Detroit, Michigan, United States",3000000.0,Venture - Series Unknown,3000000.0,,2.0,2016.0,2018-05,20182Q,Global Insurance Accelerator, Reflective Venture Partners,,,,Greater Detroit Area, Great Lakes, Midwestern US
Atlas Holdings,"Blockchain, Cryptocurrency, Finance, FinTech, Sharing Economy","New York, New York, United States",2000000.0,Venture - Series Unknown,2000000.0,,13.0,2014.0,2018-04,20182Q,Draper Associates, Partech, Techstars, Third Prime, Tim Draper,Greater New York Area, East Coast, Northeastern US
Boundary Technologies Ltd,"Cyber Security, Internet, Security","Edinburgh, Edinburgh, City of, United Kingdom",762100.0,Seed,762100.0,Seed,2.0,2018.0,2018-05,20182Q,Paul Walton, Robin Knox,,,,European Union (EU),,
Invacio Group,"Artificial Intelligence, Big Data, Blockchain, Finance, FinTech, Machine Learning, National Security",,22000000.0,Initial Coin Offering,22000000.0,M&A,,2014.0,2018-04,20182Q,,,,,,,,
Qulian Technology,"Blockchain, Computer, Enterprise Software, Software","Hangzhou, Zhejiang, China",234089703.0,Series B,234089703.0,Early Stage Venture,5.0,2016.0,2018-06,20182Q,China SDIC Gaoxin, Fosun Group, Insigma Technology, Sunyard, Xinhu Zhongbao Co Ltd,Asia-Pacific (APAC),,
Modern Tech,"Blockchain, Cryptocurrency, Finance","Ho Chi Minh City, NA - Vietnam, Vietnam",660000000.0,Initial Coin Offering,660000000.0,,,,2018-04,20182Q,,,,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Pryv,"Apps, Health Care, Information Technology, Internet of Things, Medical Device, Personalization, Privacy, Quantified Self, Software","Lausanne, Vaud, Switzerland",426679.0,Debt Financing,1124914.0,Seed,3.0,2012.0,2018-01,20181Q,Cosa Trade SA, Foundation for Technological Innovation (FIT), simple data sarl,,,,,
Teambrella,"Ethereum, InsurTech","St. Petersburg, Florida, United States",485000.0,Seed,485000.0,Seed,1.0,2015.0,2018-05,20182Q,Shanda Group,,,,,Tampa Bay Area, East Coast, Southern US
effect.ai,"Artificial Intelligence, Blockchain, Information Technology","Amsterdam, Noord-Holland, The Netherlands",13578419.0,Initial Coin Offering,13578419.0,,,2015.0,2018-03,20181Q,,,,,,European Union (EU),,
Conio,"Bitcoin, FinTech","San Francisco, California, United States",3000000.0,Series A,3000000.0,Early Stage Venture,,2015.0,2018-06,20182Q,,,,,,San Francisco Bay Area, West Coast, Western US
"MOIN, Inc.","Blockchain, Finance, Financial Services, FinTech, Mobile Payments, Transaction Processing","Seoul, Seoul-t'ukpyolsi, South Korea",2300000.0,Series A,2300000.0,Early Stage Venture,7.0,2016.0,2018-01,20181Q,BA Partners, Bokwang Investment, Capstone Partners Co., Ltd., D.CAMP,Asia-Pacific (APAC),,
Mercury Cash,"Cryptocurrency, Financial Exchanges","Orlando, Florida, United States",10000.0,Seed,10000.0,Seed,1.0,2016.0,2018-04,20182Q,Maria Gomez,,,,,East Coast, Southern US,
IronCore Labs,"SaaS, Security, Software","Boulder, Colorado, United States",1500000.0,Seed,1500000.0,Seed,7.0,2015.0,2018-06,20182Q,FirstMile Ventures, NEXT Frontier Capital, Right Side Capital Management, Techstars, v1.vc,Greater Denver Area, Western US,
Redwood Technologies Group,"Communications Infrastructure, Financial Services, Government, Mobile, Network Security, Payments, Telecommunications","Berkshire, New York, United States",34493939.0,Venture - Series Unknown,34493939.0,,1.0,1993.0,2018-01,20181Q,Scottish Equity Partners,,,,,East Coast, Northeastern US,
LOCALLY,"Big Data, Blockchain, Internet of Things, Location Based Services, Mobile, Mobile Advertising","Irvine, California, United States",2500000.0,Series A,2500000.0,Early Stage Venture,3.0,2015.0,2018-04,20182Q,ENOTEC Ventures, NEM, xSquared Ventures,,,Greater Los Angeles Area, West Coast, Western US
8btc.com,"Bitcoin, Internet, News","Hangzhou, Zhejiang, China",16000000.0,Series A,16000000.0,Early Stage Venture,4.0,2011.0,2018-03,20181Q,Bitmain, Funcity Capital, Puhua Capital, QF Capital,,Asia-Pacific (APAC),,
SysCloud,"Cyber Security, Software","Red Bank, New Jersey, United States",200000.0,Debt Financing,2500000.0,Early Stage Venture,4.0,2013.0,2018-06,20182Q,Inventus Capital Partners, Kae Capital, Lighter Capital, Microsoft Accelerator Bangalore,,Greater New York Area, East Coast, Northeastern US
Blackpoint Holdings,"Computer, Cyber Security","Ellicott City, Maryland, United States",6000000.0,Venture - Series Unknown,6000000.0,,3.0,2014.0,2018-05,20182Q,Adelphi Capital, Maryland Venture Fund, Telcom Ventures,,,Greater Baltimore-Maryland Area, East Coast, Southern US
EnergiMine,"Artificial Intelligence, Blockchain, Energy, SaaS","Manchester, Manchester, United Kingdom",3000000.0,Initial Coin Offering,3000000.0,,,2016.0,2018-02,20181Q,,,,,,European Union (EU),,
NewBanking ApS,"Blockchain, Financial Services, FinTech, Identity Management","Copenhagen, Hovedstaden, Denmark",20000.0,Seed,20000.0,Seed,5.0,2015.0,2018-03,20181Q,Innovation Fund Denmark, Kcbl Management ApS, PreSeed Ventures, Queen City Fintech, Seed Capital,European Union (EU), Nordic Countries, Scandinavia
GUTS Tickets,"Analytics, Blockchain, Ticketing","Amsterdam, Noord-Holland, The Netherlands",7666745.0,Initial Coin Offering,7666745.0,,,2016.0,2018-01,20181Q,,,,,,European Union (EU),,
GATE,"Credit Cards, Cyber Security, Financial Services, FinTech, Mobile Payments, Payments","New York, New York, United States",3200000.0,Seed,3200000.0,Seed,3.0,2015.0,2018-04,20182Q,Alex Jurovitsky, Jacob Shochat, Orco Investments,,,Greater New York Area, East Coast, Northeastern US
Arival Bank,"Banking, Compliance, FinTech, Identity Management","Singapore, Central Region, Singapore",1000000.0,Seed,1000000.0,Seed,,2017.0,2018-01,20181Q,,,,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Zabo,"Bitcoin, Cryptocurrency, Developer APIs, Finance, Financial Services, FinTech, Personal Finance","Dallas, Texas, United States",1150000.0,Seed,1150000.0,Seed,1.0,2018.0,2018-02,20181Q,Blockchange Ventures,,,,,Dallas/Fort Worth Metroplex, Southern US,
ChameleonX,"Network Security, Security","Tel Aviv, Tel Aviv, Israel",1000000.0,Seed,1000000.0,Seed,2.0,2016.0,2018-04,20182Q,Firstime Venture Capital, TheTime,,,,,,
Chainvine,"Asset Management, Compliance, Cyber Security, Database, Enterprise Software, Intelligent Systems, Software, Supply Chain Management","London, England, United Kingdom",3328996.0,Series A,3328996.0,Early Stage Venture,1.0,2015.0,2018-06,20182Q,Deepbridge Capital,,,,,European Union (EU),,
Corl,"Cryptocurrency, Finance, Financial Services, FinTech","Montréal, Quebec, Canada",411490.0,Seed,411490.0,Seed,,2016.0,2018-06,20182Q,,,,,,,,
Shoonya,"Computer, Information Technology, Internet, Security, Software","Menlo Park, California, United States",2000000.0,Seed,2000000.0,Seed,5.0,2017.0,2018-06,20182Q,Andrew Lee, Haystack, Pathbreaker Ventures, Root Ventures, Ubiquity Ventures,San Francisco Bay Area, Silicon Valley, West Coast
BoxLock,"Hardware, Logistics, Security, Software","Atlanta, Georgia, United States",750000.0,Seed,750000.0,Seed,,2017.0,2018-04,20182Q,,,,,,Greater Atlanta Area, East Coast, Southern US
GUN,"Big Data, Blockchain, Communities, Database","Redwood City, California, United States",723000.0,Seed,723000.0,Seed,5.0,2014.0,2018-05,20182Q,Boost VC, CRCM Ventures, Draper Associates, Marc Benioff, Nirvana Capital,San Francisco Bay Area, Silicon Valley, West Coast
AtYourGate,"Delivery, Security, Travel","San Diego, California, United States",2000000.0,Seed,2000000.0,Seed,1.0,2014.0,2018-04,20182Q,TRITON FUNDS LLC,,,,,Greater San Diego Area, West Coast, Western US
Storiqa,"Blockchain, E-Commerce, Marketplace, Retail","Hong Kong, Hong Kong Island, Hong Kong",25000000.0,Venture - Series Unknown,25000000.0,,,2017.0,2018-02,20181Q,,,,,,Asia-Pacific (APAC),,
Dapp.com,"Blockchain, Marketplace, Social Network","Singapore, Central Region, Singapore",1200000.0,Seed,1200000.0,Seed,,2018.0,2018-05,20182Q,,,,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Element Zero Network,"Artificial Intelligence, Blockchain, Cryptocurrency, FinTech","Los Altos, California, United States",2500000.0,Seed,2500000.0,Seed,,2018.0,2018-05,20182Q,,,,,,San Francisco Bay Area, Silicon Valley, West Coast
TaxToken,Blockchain,"Harrisonburg, Virginia, United States",1379522.0,Venture - Series Unknown,1379522.0,,,2017.0,2018-06,20182Q,,,,,,East Coast, Southern US,
Storage Made Easy,"Cloud Computing, Cloud Security, Compliance, Enterprise Software, File Sharing, Media and Entertainment","Sutton, Surrey, United Kingdom",4226352.0,Series A,4226352.0,Early Stage Venture,,2009.0,2018-04,20182Q,,,,,,European Union (EU),,
Kraydel,"Android, Elder Care, Hardware, Information Technology, Machine Learning, Security, Software","Belfast, Belfast, United Kingdom",1655709.0,Seed,1655709.0,Seed,5.0,2016.0,2018-01,20181Q,Clarendon Fund Managers, Hambro Perks Ltd., Pitch@Palace, Public, techstart,European Union (EU),,
Buttrfly,"Blockchain, Brand Marketing, Cryptocurrency","West Hollywood, California, United States",2000000.0,Seed,2000000.0,Seed,,2017.0,2018-03,20181Q,,,,,,Greater Los Angeles Area, West Coast, Western US
Bitcoiin2Gen,"Blockchain, Cryptocurrency","Hong Kong, Hong Kong Island, Hong Kong",233000000.0,Initial Coin Offering,233000000.0,,,2015.0,2018-03,20181Q,,,,,,Asia-Pacific (APAC),,
IronNet Cybersecurity,"Computer, Cyber Security, Network Security","Fulton, Maryland, United States",78000000.0,Series B,78000000.0,Early Stage Venture,3.0,2014.0,2018-05,20182Q,C5 Capital, ForgePoint Capital, Kleiner Perkins,,,Greater Baltimore-Maryland Area, East Coast, Southern US
UPGRADED,"Blockchain, Music, Sports, Ticketing","Walnut Creek, California, United States",390000.0,Convertible Note,,M&A,1.0,2016.0,2018-04,20182Q,Stadia Ventures,,,,,San Francisco Bay Area, West Coast, Western US
LuxTag,"Blockchain, Information Services, Information Technology, Internet, Software","Kuala Lumpur, Kuala Lumpur, Malaysia",600000.0,Seed,600000.0,Seed,3.0,2016.0,2018-05,20182Q,NEM, Platcom Ventures, xSquared Ventures,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
YellowHeart,"Blockchain, Media and Entertainment, Software","New York, New York, United States",1500000.0,Seed,1500000.0,Seed,1.0,2018.0,2018-03,20181Q,Live Nation Entertainment,,,,,Greater New York Area, East Coast, Northeastern US
NovaDAX,"Bitcoin, Blockchain, Cryptocurrency, E-Commerce, Ethereum, Financial Services, FinTech, Internet, Personal Finance, Virtual Currency","Zug, Zug, Switzerland",20000000.0,Series A,20000000.0,Early Stage Venture,,2018.0,2018-05,20182Q,,,,,,,,
"SoluTech, Inc.","Blockchain, Enterprise Software, Internet of Things, Software","New Haven, Connecticut, United States",1000000.0,Seed,1000000.0,Seed,,2016.0,2018-05,20182Q,,,,,,East Coast, New England, Northeastern US
CyGlass,"Computer, Network Security","Littleton, Massachusetts, United States",4983214.0,Venture - Series Unknown,4983214.0,,,2017.0,2018-04,20182Q,,,,,,Greater Boston Area, East Coast, New England
Rental Coins,Blockchain,"Bengaluru, Karnataka, India",11863194.0,Venture - Series Unknown,11863194.0,,,,2018-05,20182Q,,,,,,Asia-Pacific (APAC),,
Persona,"Identity Management, SaaS","San Francisco, California, United States",130000.0,Convertible Note,,,,2015.0,2018-05,20182Q,,,,,,San Francisco Bay Area, West Coast, Western US
RxAll Inc.,"Artificial Intelligence, Blockchain, Database, Hardware, Software","New Haven, Connecticut, United States",500000.0,Seed,500000.0,Seed,4.0,2016.0,2018-06,20182Q,Equilateral Ventures, Katapult Accelerator, Merck, Yale University,,East Coast, New England, Northeastern US
dexFreight,"Artificial Intelligence, Blockchain, Cryptocurrency, Logistics, Machine Learning, Shipping, Supply Chain Management, Transportation","Sunrise, Florida, United States",300000.0,Seed,300000.0,Seed,,2018.0,2018-03,20181Q,,,,,,Greater Miami Area, East Coast, Southern US
Blockchain Terminal,"Blockchain, Financial Services, Software","New York, New York, United States",31000000.0,Initial Coin Offering,31000000.0,,,2014.0,2018-05,20182Q,,,,,,Greater New York Area, East Coast, Northeastern US
SureRemit,"Blockchain, Cryptocurrency, Financial Services","San Francisco, California, United States",7000000.0,Initial Coin Offering,7000000.0,,,2017.0,2018-01,20181Q,,,,,,San Francisco Bay Area, West Coast, Western US
Wave Application,"Location Based Services, Mobile, Privacy","Madrid, Madrid, Spain",1166586.0,Equity Crowdfunding,1166586.0,,2.0,2013.0,2018-04,20182Q,Crowdcube, NewTech Capital,,,,European Union (EU),,
GoChain,"Blockchain, Cryptocurrency","Charlestown, Saint John Figtree, Saint Kitts and Nevis",12000000.0,Initial Coin Offering,12000000.0,,,2017.0,2018-04,20182Q,,,,,,,,
RunSafe Security,"Cloud Security, Cyber Security, Fleet Management, Real Time, Security","Mclean, Virginia, United States",2400000.0,Seed,2400000.0,Seed,3.0,2015.0,2018-05,20182Q,Alsop Louie Partners, Center for Innovative Technology, Michael W. Wellman,,,Washington DC Metro Area, East Coast, Southern US
bcause,"Bitcoin, Cryptocurrency, Financial Services, Virtual Currency","Virginia Beach, Virginia, United States",5000000.0,Series B,5000000.0,Early Stage Venture,2.0,2013.0,2018-04,20182Q,Checkmate Capital, SBI Group,,,,East Coast, Southern US,
Ultimo DigitalTechnologies (UCOT),"Blockchain, Information Services, Information Technology","Sydney, New South Wales, Australia",40000000.0,Initial Coin Offering,40000000.0,,2.0,2017.0,2018-03,20181Q,CollinStar, Sapien Ventures,,,,Asia-Pacific (APAC), Australasia,
Cypheme,"B2B, Cloud Data Services, Machine Learning, Security","Mountain View, California, United States",85651.0,Grant,1306351.0,Seed,8.0,2015.0,2018-05,20182Q,EASME - EU Executive Agency for SMEs, Femmes Business Angels, INSEAD Business Angels Alumni France, Microsoft Accelerator Paris, Paris Business Angels,San Francisco Bay Area, Silicon Valley, West Coast
Loqr,"Enterprise Software, Identity Management, Mobile, Security","Braga, Braga, Portugal",1402476.0,Seed,1402476.0,Seed,6.0,2015.0,2018-03,20181Q,Big Start Ventures, EDP, Momentum London, REDangels, Startup Braga,European Union (EU),,
Namogoo,"Big Data, E-Commerce, Network Security, Security","Ra'anana, HaMerkaz, Israel",15000000.0,Series B,15000000.0,Early Stage Venture,7.0,2014.0,2018-05,20182Q,Blumberg Capital, GreatPoint Ventures, Hanaco Venture Capital, Synapse Partners, Tectonic Capital,,,
PolyPort,"Information Technology, Security, Software","Denver, Colorado, United States",1200000.0,Pre-Seed,1200000.0,Seed,2.0,2016.0,2018-05,20182Q,Seraph Group, Texas Halo Fund,,,,Greater Denver Area, Western US,
Zinc,"Blockchain, Computer, Software","London, England, United Kingdom",2942281.0,Venture - Series Unknown,2942281.0,,,2016.0,2018-06,20182Q,,,,,,European Union (EU),,
Visual Threat,"Cyber Security, Network Security, Security","San Jose, California, United States",5000000.0,Series A,5000000.0,Early Stage Venture,3.0,2013.0,2018-06,20182Q,Baidu, InnoSpring Seed Fund, TSVC,,,San Francisco Bay Area, Silicon Valley, West Coast
Verady,"Accounting, Bitcoin, Blockchain, Cryptocurrency, FinTech, SaaS, Virtual Currency","Atlanta, Georgia, United States",1000000.0,Pre-Seed,1000000.0,Seed,5.0,2016.0,2018-02,20181Q,Bo Shen, Engage Ventures, Frank Bishop, TechSquare Labs, TTV Capital,Greater Atlanta Area, East Coast, Southern US
moneytor,"Compliance, Debt Collections, Financial Services, FinTech, Machine Learning","Mumbai, Maharashtra, India",300000.0,Seed,300000.0,Seed,2.0,2017.0,2018-01,20181Q,500 Startups, ISME ACE - FinTech Accelerator,,,,Asia-Pacific (APAC),,
Bizzy Labs,"Blockchain, Human Resources, Mobile, Recruiting, SaaS, Video Streaming","Amsterdam, Noord-Holland, The Netherlands",2393537.0,Post-IPO Equity,2393537.0,IPO,2.0,2014.0,2018-01,20181Q,Startupbootcamp, Startupbootcamp Commerce Amsterdam,,,,European Union (EU),,
Boldend,"SaaS, Security","Carlsbad, California, United States",6000000.0,Venture - Series Unknown,6000000.0,,,2017.0,2018-06,20182Q,,,,,,Greater San Diego Area, West Coast, Western US
Distributed Machines,"Blockchain, Crowdsourcing, Education, Information Technology","Santa Monica, California, United States",30000000.0,Series A,30000000.0,Early Stage Venture,2.0,2014.0,2018-02,20181Q,Galaxy Digital LP, Mucker Capital,,,,Greater Los Angeles Area, West Coast, Western US
Building Intelligence Inc.,"Physical Security, Risk Management, SaaS, Security","New York, New York, United States",4100000.0,Series A,4100000.0,Early Stage Venture,1.0,2006.0,2018-04,20182Q,Founders Equity,,,,,Greater New York Area, East Coast, Northeastern US
algoreg,"Compliance, Financial Services, FinTech, Management Consulting","Luxembourg, Luxembourg, Luxembourg",1000000.0,Series A,1000000.0,Early Stage Venture,3.0,2017.0,2018-02,20181Q,G&F fund, Huobi, Jean-Pierre Bitton,,,European Union (EU),,
Quidax,"Bitcoin, Blockchain, Cryptocurrency, FinTech, Stock Exchanges","San Gwann, NA - Malta, Malta",500000.0,Seed,500000.0,Seed,1.0,2017.0,2018-06,20182Q,Genesis Node Capital,,,,,European Union (EU),,
Vuulr,"Blockchain, Digital Entertainment, Digital Media, Marketplace","Singapore, Central Region, Singapore",1067558.0,Seed,1067558.0,Seed,,2017.0,2018-01,20181Q,,,,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Chain Partners,"Blockchain, Cryptocurrency, Financial Exchanges, Internet, Software","Seoul, Seoul-t'ukpyolsi, South Korea",11000000.0,Series A,11000000.0,Early Stage Venture,4.0,2017.0,2018-05,20182Q,Capstone Partners, DS Asset Management, DSC Investment, Premier Partners,,Asia-Pacific (APAC),,
Maxxsure,"Cyber Security, Information Technology, Risk Management","Richardson, Texas, United States",350000.0,Seed,350000.0,Seed,,2016.0,2018-06,20182Q,,,,,,Dallas/Fort Worth Metroplex, Southern US,
MessageControl,"Cyber Security, Email, Internet, Messaging, Security","Chicago, Illinois, United States",3200000.0,Seed,3200000.0,Seed,1.0,2015.0,2018-01,20181Q,Guild Capital,,,,,Greater Chicago Area, Great Lakes, Midwestern US
Orocobre,"Chemical, Chemical Engineering, Mineral, Security","Brisbane, Queensland, Australia",232734228.0,Post-IPO Equity,232734228.0,IPO,1.0,,2018-01,20181Q,Toyota Tsusho,,,,,Asia-Pacific (APAC), Australasia,
