Organization,Categories,Location,FundingAmount,FundingType,EquityAmount,Status,Investors,Founded,Period,Quarter,investor_1,investor_2,investor_3,investor_4,investor_5,region_1,region_2,region_3
Mytime,"Cryptocurrency, Finance, Internet","Saint Petersburg, Saint Petersburg City, Russian Federation",3500000.0,Venture - Series Unknown,3500000.0,,,,2018-03,20181Q,,,,,,,,
MTCaptcha,"Analytics, Cyber Security, SaaS","San Francisco, California, United States",250000.0,Pre-Seed,250000.0,Seed,,2018.0,2018-06,20182Q,,,,,,San Francisco Bay Area, West Coast, Western US
"Carbon-12 Labs, Inc.","Cryptocurrency, Information Technology, Internet","New York, New York, United States",2000000.0,Seed,2000000.0,Seed,6.0,2018.0,2018-04,20182Q,Digital Currency Group, FirstMark, Future Perfect Ventures, General Catalyst, Plug and Play,Greater New York Area, East Coast, Northeastern US
Crypto N’ Kafe,"Blockchain, Coffee, Customer Service","Moka, Moka, Mauritius",7140000.0,Initial Coin Offering,7140000.0,,,2017.0,2018-02,20181Q,,,,,,,,
Ceptinel,"Commercial, Compliance, Financial Services, Information Technology, Risk Management","Santiago, Region Metropolitana, Chile",1000000.0,Venture - Series Unknown,1000000.0,,1.0,2016.0,2018-05,20182Q,HCS Capital Partners,,,,,,,
REACH,"Business Information Systems, Customer Service, Digital Signage, Enterprise Software, Identity Management, Information Services, SaaS","Palo Alto, California, United States",3500000.0,Series A,3500000.0,Early Stage Venture,9.0,2015.0,2018-04,20182Q,David Litvak, Eddy Shalev, Kaplan, Naim & Co. Ltd., NFX,San Francisco Bay Area, Silicon Valley, West Coast
Zuul IoT,"Internet of Things, Network Security","Columbia, Maryland, United States",300000.0,Seed,300000.0,Seed,2.0,2016.0,2018-01,20181Q,MasterPeace LaunchPad, TEDCO,,,,Greater Baltimore-Maryland Area, East Coast, Southern US
Threshing Floor,"Artificial Intelligence, Computer, Cyber Security, Network Security","Washington, District of Columbia, United States",100000.0,Seed,100000.0,Seed,1.0,2017.0,2018-06,20182Q,Entrepreneurs Roundtable Accelerator,,,,,Washington DC Metro Area, Southern US,
Bitbutter,"Blockchain, Cryptocurrency, Developer APIs, FinTech","San Francisco, California, United States",100000.0,Seed,100000.0,Seed,1.0,2017.0,2018-01,20181Q,Berkeley SkyDeck Fund,,,,,San Francisco Bay Area, West Coast, Western US
EhEye,"Public Safety, Security, Software","Saint John, New Brunswick, Canada",380000.0,Seed,380000.0,M&A,2.0,2016.0,2018-01,20181Q,Business Development Bank of Canada, New Brunswick Innovation Foundation,,,,,,
WalletCurve,"Cryptocurrency, Finance, Internet","Singapore, Central Region, Singapore",3600000.0,Angel,3600000.0,Seed,1.0,2017.0,2018-01,20181Q,Huobi Capital,,,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Lino,"Blockchain, Content Creators, Video","Cupertino, California, United States",20000000.0,Private Equity,20000000.0,Private Equity,4.0,2017.0,2018-02,20181Q,DFund, FBG Capital, INBlockchain, ZhenFund,,San Francisco Bay Area, Silicon Valley, West Coast
Internet of Services,"Architecture, Blockchain, Internet","Singapore, Central Region, Singapore",40000000.0,Initial Coin Offering,40000000.0,,8.0,2015.0,2018-01,20181Q,INBlockchain, Matrix Partners China, Node Capital, Sequoia Capital China, ZhenFund,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Traxion.tech,"Bitcoin, Blockchain, Financial Services","Bengaluru, Karnataka, India",2630441.0,Initial Coin Offering,2630441.0,,,,2018-06,20182Q,,,,,,Asia-Pacific (APAC),,
Maxify Startup Studio,"Digital Media, Security","Malmö, Skane Lan, Sweden",1189354.0,Venture - Series Unknown,1189354.0,,,,2018-04,20182Q,,,,,,European Union (EU), Nordic Countries, Scandinavia
Multiversum,"Blockchain, Government, Software","Budapest, Budapest, Hungary",2900000.0,Initial Coin Offering,2900000.0,,,2017.0,2018-03,20181Q,,,,,,European Union (EU),,
Market.space,"Blockchain, Data Storage, Internet","Tallin, Harjumaa, Estonia",2080000.0,Undisclosed,2080000.0,,,2017.0,2018-06,20182Q,,,,,,European Union (EU),,
Bravatek,"Cyber Security, Internet, Security, Software","Austin, Texas, United States",500000.0,Venture - Series Unknown,500000.0,,1.0,2006.0,2018-05,20182Q,TRITON FUNDS LLC,,,,,Southern US,,
Republic Protocol,"Bitcoin, Cryptocurrency, Ethereum, Internet","Singapore, Central Region, Singapore",34000000.0,Initial Coin Offering,34000000.0,,7.0,,2018-02,20181Q,BlockVC, Hyperchain Capital, Limitless Crypto Investments, Polychain, Synapse Capital,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Rare Bits,"Blockchain, Cryptocurrency, Marketplace, Peer to Peer","San Francisco, California, United States",6000000.0,Series A,6000000.0,Early Stage Venture,10.0,2017.0,2018-04,20182Q,Bragiel Brothers, Caffeinated Capital, First Round Capital, South Park Commons, SV Angel,San Francisco Bay Area, West Coast, Western US
Airborne Wireless Network,"Network Security, Software, Wireless","Simi Valley, California, United States",8000000.0,Post-IPO Equity,8000000.0,IPO,,,2018-05,20182Q,,,,,,Greater Los Angeles Area, West Coast, Western US
Kolide,"Cyber Security, Database, Enterprise Software, Infrastructure","Boston, Massachusetts, United States",8000000.0,Series A,8000000.0,Early Stage Venture,1.0,2016.0,2018-04,20182Q,Matrix Partners,,,,,Greater Boston Area, East Coast, New England
AURA,"CRM, Information Technology, Security","Johannesburg, NA - South Africa, South Africa",472656.0,Seed,472656.0,Seed,1.0,,2018-05,20182Q,HAVAÍC,,,,,,,
