Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
dexFreight,https://www.crunchbase.com/organization/dexfreight,"Artificial Intelligence, Blockchain, Cryptocurrency, Logistics, Machine Learning, Shipping, Supply Chain Management, Transportation","Sunrise, Florida, United States","Greater Miami Area, East Coast, Southern US",2018-01-01,month,,,2018-03-01,300000,USD,300000,Seed,300000,USD,300000,Seed,,
Blockchain Terminal,https://www.crunchbase.com/organization/blockchain-terminal,"Blockchain, Financial Services, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2014-01-01,year,,,2018-05-09,31000000,USD,31000000,Initial Coin Offering,31000000,USD,31000000,,,
SureRemit,https://www.crunchbase.com/organization/sureremit,"Blockchain, Cryptocurrency, Financial Services","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2017-01-01,year,,,2018-01-16,7000000,USD,7000000,Initial Coin Offering,7000000,USD,7000000,,,
Wave Application,https://www.crunchbase.com/organization/wave-application,"Location Based Services, Mobile, Privacy","Madrid, Madrid, Spain",European Union (EU),2013-01-01,year,,,2018-04-07,827810,GBP,1166586,Equity Crowdfunding,827810,GBP,1166586,,"Crowdcube, NewTech Capital",2
GoChain,https://www.crunchbase.com/organization/gochain,"Blockchain, Cryptocurrency","Charlestown, Saint John Figtree, Saint Kitts and Nevis",,2017-12-01,day,,,2018-04-01,12000000,USD,12000000,Initial Coin Offering,12000000,USD,12000000,,,
burstIQ,https://www.crunchbase.com/organization/burstiq,"Big Data, Blockchain, Cyber Security, Health Care, Software","Denver, Colorado, United States","Greater Denver Area, Western US",2015-04-01,month,,,2018-02-08,,,,Corporate Round,,,,,"500 Startups, FirstMile Ventures",2
RunSafe Security,https://www.crunchbase.com/organization/runsafe-security-inc,"Cloud Security, Cyber Security, Fleet Management, Real Time, Security","Mclean, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2015-11-01,day,,,2018-05-16,2400000,USD,2400000,Seed,2400000,USD,2400000,Seed,"Alsop Louie Partners, Center for Innovative Technology, Michael W. Wellman",3
bcause,https://www.crunchbase.com/organization/bcause-b2d6,"Bitcoin, Cryptocurrency, Financial Services, Virtual Currency","Virginia Beach, Virginia, United States","East Coast, Southern US",2013-01-01,year,,,2018-04-30,5000000,USD,5000000,Series B,5000000,USD,5000000,Early Stage Venture,"Checkmate Capital, SBI Group",2
Ultimo DigitalTechnologies (UCOT),https://www.crunchbase.com/organization/ultimo-digitaltechnologies-ucot,"Blockchain, Information Services, Information Technology","Sydney, New South Wales, Australia","Asia-Pacific (APAC), Australasia",2017-01-01,year,,,2018-03-19,40000000,USD,40000000,Initial Coin Offering,40000000,USD,40000000,,"CollinStar, Sapien Ventures",2
Cypheme,https://www.crunchbase.com/organization/cypheme,"B2B, Cloud Data Services, Machine Learning, Security","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2015-03-04,day,,,2018-05-01,71429,EUR,85651,Grant,1200000,EUR,1306351,Seed,"EASME - EU Executive Agency for SMEs, Femmes Business Angels, INSEAD Business Angels Alumni France, Microsoft Accelerator Paris, Paris Business Angels",8
Loqr,https://www.crunchbase.com/organization/loqr,"Enterprise Software, Identity Management, Mobile, Security","Braga, Braga, Portugal",European Union (EU),2015-08-25,day,,,2018-03-29,1140000,EUR,1402476,Seed,1140000,EUR,1402476,Seed,"Big Start Ventures, EDP, Momentum London, REDangels, Startup Braga",6
Namogoo,https://www.crunchbase.com/organization/namogoo,"Big Data, E-Commerce, Network Security, Security","Ra'anana, HaMerkaz, Israel",,2014-01-01,year,,,2018-05-01,15000000,USD,15000000,Series B,15000000,USD,15000000,Early Stage Venture,"Blumberg Capital, GreatPoint Ventures, Hanaco Venture Capital, Synapse Partners, Tectonic Capital",7
PolyPort,https://www.crunchbase.com/organization/polyport-2c90,"Information Technology, Security, Software","Denver, Colorado, United States","Greater Denver Area, Western US",2016-06-01,day,,,2018-05-01,1200000,USD,1200000,Pre-Seed,1200000,USD,1200000,Seed,"Seraph Group, Texas Halo Fund",2
Zinc,https://www.crunchbase.com/organization/zinc-38c8,"Blockchain, Computer, Software","London, England, United Kingdom",European Union (EU),2016-01-01,year,,,2018-06-12,2200000,GBP,2942281,Venture - Series Unknown,2200000,GBP,2942281,,,
Visual Threat,https://www.crunchbase.com/organization/visual-threat,"Cyber Security, Network Security, Security","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-09-01,month,,,2018-06-29,5000000,USD,5000000,Series A,5000000,USD,5000000,Early Stage Venture,"Baidu, InnoSpring Seed Fund, TSVC",3
Verady,https://www.crunchbase.com/organization/verady,"Accounting, Bitcoin, Blockchain, Cryptocurrency, FinTech, SaaS, Virtual Currency","Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",2016-10-01,month,,,2018-02-13,1000000,USD,1000000,Pre-Seed,1000000,USD,1000000,Seed,"Bo Shen, Engage Ventures, Frank Bishop, TechSquare Labs, TTV Capital",5
